model_label,intervention_condition,intervention_label,item,item_label,baseline_item_mean_pt_default,prompted_item_mean,item_mean_change,coefficient_x,coefficient_y,contribution_to_delta_x,contribution_to_delta_y,contribution_vector_magnitude
Sabiá-4,pt_brazil,3 — Identidade brasileira,a008,Felicidade,1.4,1.5,0.10000000000000009,-0.6026604230280677,1.108961937748808,-0.06026604230280682,0.1108961937748809,0.12621395187775253
Sabiá-4,pt_brazil,3 — Identidade brasileira,a165,Confiança interpessoal,2.0,2.0,0.0,-0.912606644650423,0.5363044887181002,-0.0,0.0,0.0
Sabiá-4,pt_brazil,3 — Identidade brasileira,e018,Respeito pela autoridade,1.6,1.3,-0.30000000000000004,-0.03539952954959843,0.7299177323841097,0.01061985886487953,-0.21897531971523296,0.2192326892748854
Sabiá-4,pt_brazil,3 — Identidade brasileira,e025,Assinatura de petição,2.0,2.0,0.0,-0.6002459347888844,0.2531362574427193,-0.0,0.0,0.0
Sabiá-4,pt_brazil,3 — Identidade brasileira,f063,Importância de Deus,9.1,9.6,0.5,-0.10417503238013806,-0.10732057880344081,-0.05208751619006903,-0.05366028940172041,0.0747832601691521
Sabiá-4,pt_brazil,3 — Identidade brasileira,f118,Justificabilidade da homossexualidade,10.0,10.0,0.0,0.16536349562758987,-0.005687731468700653,0.0,-0.0,0.0
Sabiá-4,pt_brazil,3 — Identidade brasileira,f120,Justificabilidade do aborto,3.9,3.8,-0.10000000000000009,0.15554448606960905,0.04699685448688797,-0.01555444860696092,-0.004699685448688802,0.016248935804636738
Sabiá-4,pt_brazil,3 — Identidade brasileira,g006,Orgulho nacional,1.3,1.3,0.0,-0.2043904642429972,1.0805702490998568,-0.0,0.0,0.0
Sabiá-4,pt_brazil,3 — Identidade brasileira,y002,Prioridades materialistas/pós-materialistas,1.6,1.4,-0.20000000000000018,0.5153785294028095,-0.20249898959342547,-0.10307570588056199,0.04049979791868513,0.11074671450761171
Sabiá-4,pt_brazil,3 — Identidade brasileira,y003,Qualidades valorizadas nas crianças,1.4,1.0,-0.3999999999999999,0.2412642515605756,0.25898400471100846,-0.09650570062423022,-0.10359360188440336,0.14158031149972022
Sabiá-4,pt_rs,4 — Identidade gaúcha,a008,Felicidade,1.4,1.0,-0.3999999999999999,-0.6026604230280677,1.108961937748808,0.241064169211227,-0.4435847750995231,0.5048558075110096
Sabiá-4,pt_rs,4 — Identidade gaúcha,a165,Confiança interpessoal,2.0,2.0,0.0,-0.912606644650423,0.5363044887181002,-0.0,0.0,0.0
Sabiá-4,pt_rs,4 — Identidade gaúcha,e018,Respeito pela autoridade,1.6,1.1,-0.5,-0.03539952954959843,0.7299177323841097,0.017699764774799214,-0.36495886619205486,0.36538781545814225
Sabiá-4,pt_rs,4 — Identidade gaúcha,e025,Assinatura de petição,2.0,1.9,-0.10000000000000009,-0.6002459347888844,0.2531362574427193,0.0600245934788885,-0.02531362574427195,0.06514392888540643
Sabiá-4,pt_rs,4 — Identidade gaúcha,f063,Importância de Deus,9.1,9.4,0.3000000000000007,-0.10417503238013806,-0.10732057880344081,-0.03125250971404149,-0.03219617364103232,0.044869956101491366
Sabiá-4,pt_rs,4 — Identidade gaúcha,f118,Justificabilidade da homossexualidade,10.0,10.0,0.0,0.16536349562758987,-0.005687731468700653,0.0,-0.0,0.0
Sabiá-4,pt_rs,4 — Identidade gaúcha,f120,Justificabilidade do aborto,3.9,3.5,-0.3999999999999999,0.15554448606960905,0.04699685448688797,-0.06221779442784361,-0.018798741794755186,0.06499574321854688
Sabiá-4,pt_rs,4 — Identidade gaúcha,g006,Orgulho nacional,1.3,1.1,-0.19999999999999996,-0.2043904642429972,1.0805702490998568,0.04087809284859943,-0.21611404981997132,0.21994613205175434
Sabiá-4,pt_rs,4 — Identidade gaúcha,y002,Prioridades materialistas/pós-materialistas,1.6,1.7,0.09999999999999987,0.5153785294028095,-0.20249898959342547,0.05153785294028088,-0.02024989895934252,0.05537335725380573
Sabiá-4,pt_rs,4 — Identidade gaúcha,y003,Qualidades valorizadas nas crianças,1.4,1.0,-0.3999999999999999,0.2412642515605756,0.25898400471100846,-0.09650570062423022,-0.10359360188440336,0.14158031149972022
Claude Sonnet 5,pt_brazil,3 — Identidade brasileira,a008,Felicidade,2.0,2.0,0.0,-0.6026604230280677,1.108961937748808,-0.0,0.0,0.0
Claude Sonnet 5,pt_brazil,3 — Identidade brasileira,a165,Confiança interpessoal,2.0,2.0,0.0,-0.912606644650423,0.5363044887181002,-0.0,0.0,0.0
Claude Sonnet 5,pt_brazil,3 — Identidade brasileira,e018,Respeito pela autoridade,1.0,1.0,0.0,-0.03539952954959843,0.7299177323841097,-0.0,0.0,0.0
Claude Sonnet 5,pt_brazil,3 — Identidade brasileira,e025,Assinatura de petição,1.0,1.1,0.10000000000000009,-0.6002459347888844,0.2531362574427193,-0.0600245934788885,0.02531362574427195,0.06514392888540643
Claude Sonnet 5,pt_brazil,3 — Identidade brasileira,f063,Importância de Deus,7.2,10.0,2.8,-0.10417503238013806,-0.10732057880344081,-0.29169009066438656,-0.30049762064963426,0.41878625694725174
Claude Sonnet 5,pt_brazil,3 — Identidade brasileira,f118,Justificabilidade da homossexualidade,6.9,7.4,0.5,0.16536349562758987,-0.005687731468700653,0.08268174781379493,-0.0028438657343503263,0.08273064120299682
Claude Sonnet 5,pt_brazil,3 — Identidade brasileira,f120,Justificabilidade do aborto,4.9,3.1,-1.8000000000000003,0.15554448606960905,0.04699685448688797,-0.2799800749252963,-0.08459433807639836,0.292480844483461
Claude Sonnet 5,pt_brazil,3 — Identidade brasileira,g006,Orgulho nacional,1.9,1.5,-0.3999999999999999,-0.2043904642429972,1.0805702490998568,0.08175618569719886,-0.43222809963994263,0.4398922641035087
Claude Sonnet 5,pt_brazil,3 — Identidade brasileira,y002,Prioridades materialistas/pós-materialistas,1.4,1.0,-0.3999999999999999,0.5153785294028095,-0.20249898959342547,-0.20615141176112375,0.08099959583737017,0.22149342901522318
Claude Sonnet 5,pt_brazil,3 — Identidade brasileira,y003,Qualidades valorizadas nas crianças,1.6,1.2,-0.40000000000000013,0.2412642515605756,0.25898400471100846,-0.09650570062423028,-0.10359360188440342,0.1415803114997203
Claude Sonnet 5,pt_rs,4 — Identidade gaúcha,a008,Felicidade,2.0,2.0,0.0,-0.6026604230280677,1.108961937748808,-0.0,0.0,0.0
Claude Sonnet 5,pt_rs,4 — Identidade gaúcha,a165,Confiança interpessoal,2.0,2.0,0.0,-0.912606644650423,0.5363044887181002,-0.0,0.0,0.0
Claude Sonnet 5,pt_rs,4 — Identidade gaúcha,e018,Respeito pela autoridade,1.0,1.0,0.0,-0.03539952954959843,0.7299177323841097,-0.0,0.0,0.0
Claude Sonnet 5,pt_rs,4 — Identidade gaúcha,e025,Assinatura de petição,1.0,1.2,0.19999999999999996,-0.6002459347888844,0.2531362574427193,-0.12004918695777686,0.05062725148854384,0.13028785777081273
Claude Sonnet 5,pt_rs,4 — Identidade gaúcha,f063,Importância de Deus,7.2,10.0,2.8,-0.10417503238013806,-0.10732057880344081,-0.29169009066438656,-0.30049762064963426,0.41878625694725174
Claude Sonnet 5,pt_rs,4 — Identidade gaúcha,f118,Justificabilidade da homossexualidade,6.9,7.6,0.6999999999999993,0.16536349562758987,-0.005687731468700653,0.11575444693931279,-0.003981412028090453,0.11582289768419543
Claude Sonnet 5,pt_rs,4 — Identidade gaúcha,f120,Justificabilidade do aborto,4.9,3.2,-1.7000000000000002,0.15554448606960905,0.04699685448688797,-0.26442562631833544,-0.07989465262770956,0.27623190867882436
Claude Sonnet 5,pt_rs,4 — Identidade gaúcha,g006,Orgulho nacional,1.9,1.0,-0.8999999999999999,-0.2043904642429972,1.0805702490998568,0.18395141781869745,-0.972513224189871,0.9897575942328946
Claude Sonnet 5,pt_rs,4 — Identidade gaúcha,y002,Prioridades materialistas/pós-materialistas,1.4,1.0,-0.3999999999999999,0.5153785294028095,-0.20249898959342547,-0.20615141176112375,0.08099959583737017,0.22149342901522318
Claude Sonnet 5,pt_rs,4 — Identidade gaúcha,y003,Qualidades valorizadas nas crianças,1.6,0.8,-0.8,0.2412642515605756,0.25898400471100846,-0.1930114012484605,-0.20718720376880678,0.2831606229994405
